timestamp,probability,label,title_preview,text_snippet
2025-06-23T14:59:08.075781,0.9999,🚩 High Fraud Risk,Title: Virtual Office Admin Needed ASAP – Work From Anywhere,Title: Virtual Office Admin Needed ASAP – Work From Anywhere  Are you a detail-oriented individual looking for part-time
2025-06-23T14:59:19.638521,0.3056,✅ Low Risk — Appears Legitimate,Title: Executive Assistant – Immediate Start + Weekly Cash Bonus,Title: Executive Assistant – Immediate Start + Weekly Cash Bonus  A private client is seeking a motivated assistant for 
2025-06-23T14:59:30.672631,0.4964,✅ Low Risk — Appears Legitimate,Title: 🛍️ Urgent: Secret Shopper Needed – $500 Daily We,Title: 🛍️ Urgent: Secret Shopper Needed – $500 Daily  We are a market research company hiring secret shoppers in your ar
2025-06-23T23:27:54.688849,0.9647,🚩 High Fraud Risk,Title: 🛍️ Urgent: Secret Shopper Needed – $500 Daily We,Title: 🛍️ Urgent: Secret Shopper Needed – $500 Daily  We are a market research company hiring secret shoppers in your ar
2025-06-23T23:28:09.070534,0.9996,🚩 High Fraud Risk,Title: Executive Assistant – Immediate Start + Weekly Cash Bonus,Title: Executive Assistant – Immediate Start + Weekly Cash Bonus  A private client is seeking a motivated assistant for 
2025-06-23T23:28:18.374185,1.0,🚩 High Fraud Risk,Title: Virtual Office Admin Needed ASAP – Work From Anywhere,Title: Virtual Office Admin Needed ASAP – Work From Anywhere  Are you a detail-oriented individual looking for part-time
2025-06-23T23:30:25.676211,0.2154,✅ Low Risk — Appears Legitimate,oftware Engineer – Remote (Canada) We’re hiring a full-time developer,oftware Engineer – Remote (Canada)  We’re hiring a full-time developer to join our backend team. Must be proficient in P
2025-06-23T23:30:59.663374,0.132,✅ Low Risk — Appears Legitimate,Marketing Coordinator Seeking a full-time marketing assistant to manage social,"Marketing Coordinator  Seeking a full-time marketing assistant to manage social campaigns, email marketing, and reportin"
2025-06-23T23:31:14.448264,0.9995,🚩 High Fraud Risk,"Administrative Assistant (Downtown Toronto) Responsibilities include calendar management, data entry,","Administrative Assistant (Downtown Toronto)  Responsibilities include calendar management, data entry, and scheduling. M"
2025-06-23T23:31:32.547608,0.9448,🚩 High Fraud Risk,Registered Nurse – Hospital Setting Join our team at a,Registered Nurse – Hospital Setting  Join our team at a well-established hospital in Ontario. Full-time with benefits. A
2025-06-23T23:31:56.587593,0.9999,🚩 High Fraud Risk,Hiring Immediately – No Experience Needed Make $500 a day,"Hiring Immediately – No Experience Needed  Make $500 a day working from your phone! No interview, just DM us on WhatsApp"
2025-06-23T23:32:08.529810,0.9996,🚩 High Fraud Risk,Remote Admin Job (OnlyFans Manager) Work remotely managing influencer accounts.,Remote Admin Job (OnlyFans Manager)  Work remotely managing influencer accounts. All you need is a smartphone. Must send
2025-06-23T23:32:19.117127,1.0,🚩 High Fraud Risk,Get Paid to Test Apps! We pay daily via Zelle.,Get Paid to Test Apps!  We pay daily via Zelle. No experience needed. Just fill out this form and send $25 to get starte
2025-06-23T23:32:38.189630,0.9931,🚩 High Fraud Risk,Personal Assistant (Crypto Executive) Looking for a loyal assistant. Tasks,"Personal Assistant (Crypto Executive)  Looking for a loyal assistant. Tasks include booking hotels, shopping online, and"
2025-06-23T23:32:50.201635,0.9996,🚩 High Fraud Risk,Home-based Typing Work – Earn $1000/week Work from home! Simple,Home-based Typing Work – Earn $1000/week  Work from home! Simple typing tasks. No interview. Training fee applies. Email
2025-06-23T23:33:00.161950,0.9996,🚩 High Fraud Risk,Quick Cash Job – Urgent We need help immediately. Transfer,Quick Cash Job – Urgent  We need help immediately. Transfer gift cards to our client. Pay is $200/day. Must act fast.
2025-06-23T23:33:12.423478,0.2746,✅ Low Risk — Appears Legitimate,Telegram Work Opportunity Join our exclusive crypto group on Telegram.,Telegram Work Opportunity  Join our exclusive crypto group on Telegram. No skills needed. Just message @jobrecruit_bot t
2025-06-23T23:33:30.140430,0.9997,🚩 High Fraud Risk,Customer Service Rep (Text Only) Respond to customer messages on,Customer Service Rep (Text Only)  Respond to customer messages on WhatsApp. No voice calls. Payment through Zelle. Send 
2025-06-23T23:33:44.290702,0.9993,🚩 High Fraud Risk,Freelance Work – Google Hangouts Only All interviews and job,Freelance Work – Google Hangouts Only  All interviews and job instructions are on Google Hangouts. Don’t email — only us
2025-06-23T23:33:54.347107,0.9993,🚩 High Fraud Risk,Urgent Position – Start Today No resume required. Just send,Urgent Position – Start Today  No resume required. Just send your name and picture to start working. You’ll get paid via
2025-06-23T23:34:37.046985,0.0358,✅ Low Risk — Appears Legitimate,"Senior Data Analyst – HealthTech (Toronto, ON) We are a","Senior Data Analyst – HealthTech (Toronto, ON) We are a leading Canadian health technology company seeking a Senior Data"
2025-06-23T23:34:54.932658,0.003,✅ Low Risk — Appears Legitimate,Elementary Teacher – Grade 2 (Peel District School Board) The,"Elementary Teacher – Grade 2 (Peel District School Board) The Peel DSB is seeking a certified, enthusiastic Grade 2 teac"
2025-06-23T23:35:06.694780,0.0011,✅ Low Risk — Appears Legitimate,"Marketing Coordinator – Hybrid (Mississauga, ON) Join our in-house marketing","Marketing Coordinator – Hybrid (Mississauga, ON) Join our in-house marketing team as a full-time coordinator focused on "
2025-06-23T23:35:17.267411,0.5415,✅ Low Risk — Appears Legitimate,Legal Assistant – Corporate Law (Downtown Toronto) We are hiring,Legal Assistant – Corporate Law (Downtown Toronto) We are hiring a legal assistant to support a senior corporate lawyer.
2025-06-23T23:35:38.576095,0.9883,🚩 High Fraud Risk,Front Desk Receptionist – Dental Clinic (Etobicoke) Our modern family,Front Desk Receptionist – Dental Clinic (Etobicoke) Our modern family dental clinic is seeking a friendly receptionist w
2025-06-23T23:35:51.182085,1.0,🚩 High Fraud Risk,Data Entry Clerk – Remote Work ($500/day) We are urgently,Data Entry Clerk – Remote Work ($500/day) We are urgently hiring remote typists to complete simple data entry tasks for 
2025-06-23T23:36:03.696860,0.9845,🚩 High Fraud Risk,Personal Assistant to Crypto Investor A busy entrepreneur in the,Personal Assistant to Crypto Investor A busy entrepreneur in the crypto space is hiring a part-time assistant to manage 
2025-06-23T23:36:15.891383,1.0,🚩 High Fraud Risk,Remote Admin Role – Start Today Want to work from,Remote Admin Role – Start Today Want to work from home? We’re hiring fast. Just fill in a short form and we’ll send you 
2025-06-23T23:36:31.693016,0.9858,🚩 High Fraud Risk,Social Media Evaluator – URGENT We need people to test,Social Media Evaluator – URGENT We need people to test Facebook and Instagram ads and submit short reports. You will be 
2025-06-23T23:36:41.820364,0.9708,🚩 High Fraud Risk,Virtual Assistant – Gift Card Fulfillment Seeking assistants to help,Virtual Assistant – Gift Card Fulfillment Seeking assistants to help us purchase and send gift cards for client surveys.
